,Location,Birth Rate,Year,State,Region,Stabr
251,Washington,59.8,2017,Washington,West,WA
252,West Virginia,58.0,2017,West Virginia,South,WV
253,Wisconsin,60.0,2017,Wisconsin,Midwest,WI
254,Wyoming,64.1,2017,Wyoming,West,WY
255,United States,59.1,2018,United States,N/A,US
256,Alabama,60.9,2018,Alabama,South,AL
257,Alaska,69.3,2018,Alaska,West,AK
258,Arizona,58.6,2018,Arizona,West,AZ
259,Arkansas,64.0,2018,Arkansas,South,AR
260,California,56.2,2018,California,West,CA
261,Colorado,54.1,2018,Colorado,West,CO
262,Connecticut,51.8,2018,Connecticut,Northeast,CT
263,Delaware,59.1,2018,Delaware,South,DE
264,Florida,57.2,2018,Florida,South,FL
265,Georgia,58.3,2018,Georgia,South,GA
266,Hawaii,64.2,2018,Hawaii,West,HI
267,Idaho,63.4,2018,Idaho,West,ID
268,Illinois,57.5,2018,Illinois,Midwest,IL
269,Indiana,62.8,2018,Indiana,Midwest,IN
270,Iowa,63.5,2018,Iowa,Midwest,IA
271,Kansas,64.7,2018,Kansas,Midwest,KS
272,Kentucky,63.5,2018,Kentucky,South,KY
273,Louisiana,64.3,2018,Louisiana,South,LA
274,Maine,53.3,2018,Maine,Northeast,ME
275,Maryland,59.9,2018,Maryland,South,MD
276,Massachusetts,49.5,2018,Massachusetts,Northeast,MA
277,Michigan,58.5,2018,Michigan,Midwest,MI
278,Minnesota,62.7,2018,Minnesota,Midwest,MN
279,Mississippi,62.8,2018,Mississippi,South,MS
280,Missouri,62.4,2018,Missouri,Midwest,MO
281,Montana,59.6,2018,Montana,West,MT
282,Nebraska,68.4,2018,Nebraska,Midwest,NE
283,Nevada,60.0,2018,Nevada,West,NV
284,New Hampshire,49.1,2018,New Hampshire,Northeast,NH
285,New Jersey,60.1,2018,New Jersey,Northeast,NJ
286,New Mexico,58.0,2018,New Mexico,West,NM
287,New York,57.9,2018,New York,Northeast,NY
288,North Carolina,58.4,2018,North Carolina,South,NC
289,North Dakota,72.2,2018,North Dakota,Midwest,ND
290,Ohio,61.1,2018,Ohio,Midwest,OH
291,Oklahoma,64.6,2018,Oklahoma,South,OK
292,Oregon,51.4,2018,Oregon,West,OR
293,Pennsylvania,56.9,2018,Pennsylvania,Northeast,PA
294,Rhode Island,50.5,2018,Rhode Island,Northeast,RI
295,South Carolina,58.1,2018,South Carolina,South,SC
296,South Dakota,73.6,2018,South Dakota,Midwest,SD
297,Tennessee,61.1,2018,Tennessee,South,TN
298,Texas,63.4,2018,Texas,South,TX
299,Utah,68.4,2018,Utah,West,UT
